"","n_esc","PP","PSOE","MM","Vox","UP","Cs"
"1",0,0,0,0,4.51,14.42,67.49
"2",1,0,0,0,0,0,0
"3",2,0,0,0,0,0,0
"4",3,0,0,0,0,0,0
"5",4,0,0,0,0,0,0
"6",5,0,0,0,0,0,0
"7",6,0,0,0,0.17,0.3,1.67
"8",7,0,0,0.02,2.06,5.45,9.31
"9",8,0,0,0.01,4.27,9.97,8.29
"10",9,0,0,0.06,6.56,11.27,5.81
"11",10,0,0,0.04,8.61,11.58,3.45
"12",11,0,0,0.17,10.62,12.62,2.11
"13",12,0,0,0.39,12.1,11.45,1.03
"14",13,0,0,0.49,11.65,8.44,0.63
"15",14,0,0,0.98,11.24,6.05,0.15
"16",15,0,0,1.59,9.2,4.05,0.04
"17",16,0,0,2.65,6.92,2.18,0.01
"18",17,0,0.03,4.4,4.92,1.32,0
"19",18,0,0,5.58,3.45,0.56,0.01
"20",19,0,0.07,8.02,1.71,0.23,0
"21",20,0,0.22,9.28,1.09,0.05,0
"22",21,0,0.24,10.14,0.48,0.03,0
"23",22,0,0.46,10.97,0.25,0.02,0
"24",23,0,0.96,10.14,0.13,0,0
"25",24,0,1.89,9.4,0.04,0.01,0
"26",25,0,2.93,7.54,0.01,0,0
"27",26,0,4.47,6,0,0,0
"28",27,0,6.07,4.46,0.01,0,0
"29",28,0,7.61,3.11,0,0,0
"30",29,0,9.51,1.75,0,0,0
"31",30,0,9.71,1.24,0,0,0
"32",31,0,11.19,0.79,0,0,0
"33",32,0,9.7,0.33,0,0,0
"34",33,0,8.77,0.23,0,0,0
"35",34,0,7.63,0.09,0,0,0
"36",35,0,5.87,0.05,0,0,0
"37",36,0,4.46,0.06,0,0,0
"38",37,0,3.21,0.01,0,0,0
"39",38,0,2.06,0.01,0,0,0
"40",39,0,1.27,0,0,0,0
"41",40,0,0.88,0,0,0,0
"42",41,0.01,0.4,0,0,0,0
"43",42,0.01,0.2,0,0,0,0
"44",43,0.01,0.09,0,0,0,0
"45",44,0.04,0.04,0,0,0,0
"46",45,0.11,0.06,0,0,0,0
"47",46,0.24,0,0,0,0,0
"48",47,0.42,0,0,0,0,0
"49",48,0.63,0,0,0,0,0
"50",49,1.11,0,0,0,0,0
"51",50,1.95,0,0,0,0,0
"52",51,2.58,0,0,0,0,0
"53",52,3.34,0,0,0,0,0
"54",53,5.13,0,0,0,0,0
"55",54,5.95,0,0,0,0,0
"56",55,6.94,0,0,0,0,0
"57",56,7.54,0,0,0,0,0
"58",57,8.77,0,0,0,0,0
"59",58,8.38,0,0,0,0,0
"60",59,8.47,0,0,0,0,0
"61",60,7.6,0,0,0,0,0
"62",61,7.15,0,0,0,0,0
"63",62,5.67,0,0,0,0,0
"64",63,4.77,0,0,0,0,0
"65",64,3.45,0,0,0,0,0
"66",65,2.8,0,0,0,0,0
"67",66,1.97,0,0,0,0,0
"68",67,1.62,0,0,0,0,0
"69",68,1.04,0,0,0,0,0
"70",69,0.82,0,0,0,0,0
"71",70,0.47,0,0,0,0,0
"72",71,0.34,0,0,0,0,0
"73",72,0.2,0,0,0,0,0
"74",73,0.25,0,0,0,0,0
"75",74,0.08,0,0,0,0,0
"76",75,0.07,0,0,0,0,0
"77",76,0.03,0,0,0,0,0
"78",77,0.02,0,0,0,0,0
"79",78,0.02,0,0,0,0,0
"80",79,0,0,0,0,0,0
"81",80,0,0,0,0,0,0
"82",81,0,0,0,0,0,0
"83",82,0,0,0,0,0,0
"84",83,0,0,0,0,0,0
"85",84,0,0,0,0,0,0
"86",85,0,0,0,0,0,0
"87",86,0,0,0,0,0,0
"88",87,0,0,0,0,0,0
"89",88,0,0,0,0,0,0
"90",89,0,0,0,0,0,0
"91",90,0,0,0,0,0,0
"92",91,0,0,0,0,0,0
"93",92,0,0,0,0,0,0
"94",93,0,0,0,0,0,0
"95",94,0,0,0,0,0,0
"96",95,0,0,0,0,0,0
"97",96,0,0,0,0,0,0
"98",97,0,0,0,0,0,0
"99",98,0,0,0,0,0,0
"100",99,0,0,0,0,0,0
"101",100,0,0,0,0,0,0
